band,delta_rmse_mean,delta_rmse_std
Pulse_cA4,0.005579472080222833,0.0008067646415826244
Pulse_cD4,0.005478281631247669,0.00060592340924516
Pulse_cD3,0.0011101474074408368,0.00019265754052728392
Pulse_cD2,0.0003209257254900316,9.387181129075521e-05
Pulse_cD1,0.0006906911159036133,0.00011328012651477377
Fatigue_cA4,0.010220802490249814,0.0012495874856010658
Fatigue_cD4,-0.0006015837421532111,0.0001572303689005412
Fatigue_cD3,-0.0006070557173258134,0.0002794984411447488
Fatigue_cD2,0.005150019308348045,0.0006843060669374839
Fatigue_cD1,0.00267022539050224,0.000722849815573498
Manual_Features,0.24552188012887904,0.005628761912765799
