feature,delta_rmse_mean,delta_rmse_std
Fatigue_Envelope_Mean,0.028961175295828145,0.0020484256825116127
Pulse_PSD_Max,0.027492805077166803,0.002370588067855143
Fatigue_Wavelet_cD2_Std,0.024588777788434654,0.0017162532846504168
Fatigue_Median,0.023814160739803206,0.0008120636506912623
Fatigue_Diff_MeanAbsChange,0.023451760317404088,0.0018024970170506197
Fatigue_Diff_TotalChange,0.02329591719770443,0.001970164097393003
Fatigue_Min,0.02265204152196234,0.0016629902050295479
Pulse_Band_5-15Hz,0.022239499854136122,0.001739916567776494
Fatigue_Max,0.016918649372537155,0.001518922164717747
Fatigue_Wavelet_cD4_MaxAbs,0.0158529501621196,0.0014629649344836831
Pulse_PSD_Std,0.015345889779855983,0.0013266650410039705
Fatigue_Wavelet_cD4_Std,0.014742546811662548,0.001383677137626251
Fatigue_Q25,0.014676574645875809,0.0015003442888067914
Fatigue_Wavelet_cD2_Energy,0.014479435974697197,0.002093414423155976
Fatigue_Wavelet_cA4_Std,0.013552004029700679,0.0011670436981567316
Fatigue_Diff_Max,0.013012905963209994,0.0015554862793104958
Pulse_MeanSquare,0.010630348826409081,0.0010799593993915607
Fatigue_Wavelet_cA4_MaxAbs,0.010553172396549524,0.0013072867755105524
Pulse_Wavelet_cA4_Energy,0.01028403515856982,0.00035378545931776293
Fatigue_DominantFreq,0.010138736477995094,0.0010495173872896858
Pulse_Energy,0.009870248929342264,0.001468677001722483
Fatigue_Diff_Min,0.009558557591788173,0.001435759864649544
Fatigue_Wavelet_cD1_Std,0.00938879160707673,0.001302292661819907
Fatigue_Mean,0.008505490724125453,0.0008337424414183662
Pulse_Var,0.008411997925736108,0.0006186870675870596
Fatigue_Diff_Std,0.008381553878625742,0.00041746982229264815
Fatigue_Wavelet_cA4_Mean,0.0074101405530252185,0.0005926833526759341
Fatigue_PSD_Max,0.00723699045828404,0.0022170397294456992
Fatigue_RMS,0.0063907084282592425,0.0009005231646053319
Pulse_TotalPower,0.0063472684903710525,0.0012495740846911224
Fatigue_Envelope_Std,0.00631031051955275,0.0008387093624494311
Pulse_PSD_Mean,0.006181286309836331,0.0006916959995382955
Fatigue_Wavelet_cD3_Std,0.005897265541896746,0.00102661837209278
Fatigue_PSD_Std,0.0049499010611173235,0.000936255612068483
Fatigue_Wavelet_cD3_MaxAbs,0.004193322969961252,0.0007342078778549564
Fatigue_Wavelet_cD1_MaxAbs,0.0040642027929215065,0.0012848906620563454
Fatigue_PTP,0.0040318421577422575,0.000965617367907638
Fatigue_MeanSquare,0.003717172058214163,0.00047485193295887767
Fatigue_Wavelet_cD3_Energy,0.0036951834496590785,0.0011614392238882797
Fatigue_Energy,0.003655192702970822,0.00021952647436366635
Fatigue_Wavelet_cD4_Energy,0.0036151383291008143,0.0005584038664226364
Fatigue_Diff_Skew,0.003399690700577632,0.00032287539613951917
Fatigue_Std,0.002685529718349203,0.00027416686347649875
Fatigue_Wavelet_cA4_Energy,0.0019089165138418684,0.000446762915202054
Fatigue_Wavelet_cD1_Energy,0.0016912572781352191,0.0006605045175899453
Fatigue_Q75,0.0014020551431735944,0.0005230054742977727
Fatigue_Var,0.0012811574989156221,0.0003579336598777751
Fatigue_TotalPower,0.0009603356736495122,0.000426534291673725
Fatigue_Wavelet_cD2_MaxAbs,0.000907269576425837,0.0007754511793394821
Fatigue_PSD_Mean,0.0009040279121414252,0.0005260058553842155
