,Pulse_mean,Pulse_std,Fatigue_mean,Fatigue_std
gs1,32.4883461317506,6.370388908272445,71.92969266801961,0.7948577913867687
gs2,33.25455886370599,4.690127552121804,70.56665406448087,1.3129458267612417
hww,33.28038324089058,3.506070346293899,69.285733816747,1.4750970324126034
jz,33.246875337836656,6.184221453074921,70.00781890908837,0.8755517732963699
lx1,32.68100853030568,3.847021809201911,71.35684013020256,1.1135994306241863
lx2,32.517610219959664,2.392934401592644,71.96378830083566,1.2252773301793136
lx3,33.32341252659125,6.596019010156316,69.96653112194632,0.8710224777513267
pm,33.37635309548287,3.4420532368682943,69.97956797622999,0.6674403092243301
ysp,33.32290692222139,2.4539929353422134,69.9139741448462,1.7688433662236496
zch1,32.30201724284543,6.06105266949233,69.93169902100358,0.9123260713332663
zch2,32.485453916595304,8.886836891637396,69.91197377956387,0.9200958856918864
zm,33.29719156385461,7.518354685640603,69.57536539957763,1.9164524421915738
zxl,33.46386813314117,4.246588079689132,69.26062631817454,1.803061770191311
