Gender,age,driving_experience,age_group,Driving Experience (years)
male,23,2,20-25,2
female,29,1,26-30,1
male,34,2,31-35,2
male,22,1,20-25,1
female,33,4,31-35,>3
female,25,1,20-25,1
male,26,3,26-30,3
female,27,2,26-30,2
male,21,7,20-25,>3
male,23,6,20-25,>3
male,30,7,26-30,>3
female,28,2,26-30,2
male,28,2,26-30,2
female,32,2,31-35,2
female,24,2,20-25,2
male,25,4,20-25,>3
female,27,4,26-30,>3
male,31,1,31-35,1
male,26,2,26-30,2
female,35,6,31-35,>3
male,31,1,31-35,1
male,20,7,20-25,>3
male,25,3,20-25,3
male,25,1,20-25,1
male,32,3,31-35,3
female,26,3,26-30,3
male,22,1,20-25,1
male,27,1,26-30,1
male,25,7,20-25,>3
female,22,4,20-25,>3
